date,close,high,low,open,volume
2019-09-25 12:45:00+00:00,220.16,220.19,220.01,220.02,25725.0
2019-09-25 13:00:00+00:00,220.31,220.36,220.18,220.18,29492.0
2019-09-25 13:15:00+00:00,220.01,220.04,219.91,219.92,12502.0
2019-09-25 13:30:00+00:00,220.12,220.18,220.08,220.19,11479.0
2019-09-25 13:45:00+00:00,220.5,220.52,220.44,220.5,14326.0
2019-09-25 14:00:00+00:00,220.6,220.66,220.55,220.6,29372.0
2019-09-25 14:15:00+00:00,220.23,220.35,220.2,220.34,20024.0
2019-09-25 14:30:00+00:00,220.22,220.26,220.14,220.15,32014.0
2019-09-25 14:45:00+00:00,220.55,220.59,220.51,220.56,20244.0
2019-09-25 15:00:00+00:00,221.13,221.14,221.08,221.09,42709.0
2019-09-25 15:15:00+00:00,221.03,221.03,220.9,220.99,30368.0
2019-09-25 15:30:00+00:00,221.33,221.37,221.21,221.35,70465.0
2019-09-25 15:45:00+00:00,220.97,221.35,220.96,221.3,345195.0
2019-09-26 09:30:00+00:00,219.19,219.25,219.11,219.21,50541.0
2019-09-26 09:45:00+00:00,219.22,219.3,219.07,219.09,48046.0
2019-09-26 10:00:00+00:00,219.54,219.64,219.52,219.57,20711.0
2019-09-26 10:15:00+00:00,219.96,220.0,219.88,219.95,39193.0
2019-09-26 10:30:00+00:00,220.06,220.2,220.05,220.13,30583.0
2019-09-26 10:45:00+00:00,220.04,220.14,219.94,220.13,61086.0
2019-09-26 11:00:00+00:00,219.76,219.82,219.74,219.79,22780.0
2019-09-26 11:15:00+00:00,219.53,219.59,219.51,219.55,28852.0
2019-09-26 11:30:00+00:00,219.97,219.99,219.89,219.92,25726.0
2019-09-26 11:45:00+00:00,219.97,220.05,219.93,220.04,30767.0
2019-09-26 12:00:00+00:00,220.01,220.04,219.94,219.95,13125.0
2019-09-26 12:15:00+00:00,220.18,220.29,220.18,220.23,16236.0
2019-09-26 12:30:00+00:00,219.95,220.07,219.94,220.01,37872.0
2019-09-26 12:45:00+00:00,219.86,219.88,219.8,219.85,46903.0
2019-09-26 13:00:00+00:00,220.0,220.06,219.97,219.99,14115.0
2019-09-26 13:15:00+00:00,219.8,219.8,219.74,219.75,18619.0
2019-09-26 13:30:00+00:00,220.06,220.07,220.0,220.01,23211.0
2019-09-26 13:45:00+00:00,220.14,220.16,219.94,219.96,22589.0
2019-09-26 14:00:00+00:00,220.48,220.51,220.47,220.47,11200.0
2019-09-26 14:15:00+00:00,220.23,220.31,220.23,220.28,19476.0
2019-09-26 14:30:00+00:00,220.31,220.33,220.28,220.32,4903.0
2019-09-26 14:45:00+00:00,220.06,220.07,220.0,219.99,18779.0
2019-09-26 15:00:00+00:00,220.11,220.2,220.06,220.2,12785.0
2019-09-26 15:15:00+00:00,220.43,220.43,220.31,220.34,23809.0
2019-09-26 15:30:00+00:00,220.3,220.35,220.2,220.2,22937.0
2019-09-26 15:45:00+00:00,219.88,220.05,219.47,219.7,538992.0
2019-09-27 09:30:00+00:00,220.46,220.49,220.35,220.38,38575.0
2019-09-27 09:45:00+00:00,220.24,220.29,220.14,220.19,54762.0
2019-09-27 10:00:00+00:00,220.14,220.28,220.13,220.17,27770.0
2019-09-27 10:15:00+00:00,220.06,220.08,219.97,220.02,24903.0
2019-09-27 10:30:00+00:00,220.01,220.06,219.96,219.96,54539.0
2019-09-27 10:45:00+00:00,220.37,220.48,220.34,220.39,42382.0
2019-09-27 11:00:00+00:00,220.47,220.51,220.33,220.39,77760.0
2019-09-27 11:15:00+00:00,220.37,220.39,220.33,220.35,12991.0
2019-09-27 11:30:00+00:00,218.79,218.92,218.68,218.69,50449.0
2019-09-27 11:45:00+00:00,219.72,219.79,219.59,219.58,29562.0
2019-09-27 12:00:00+00:00,219.79,219.84,219.64,219.68,55038.0
2019-09-27 12:15:00+00:00,219.19,219.26,219.19,219.26,23286.0
2019-09-27 12:30:00+00:00,219.1,219.26,219.06,219.24,32167.0
2019-09-27 12:45:00+00:00,218.22,218.55,218.23,218.51,144011.0
2019-09-27 13:00:00+00:00,218.56,218.72,218.51,218.73,32960.0
2019-09-27 13:15:00+00:00,218.34,218.39,218.24,218.34,31356.0
2019-09-27 13:30:00+00:00,218.66,218.76,218.63,218.74,46033.0
2019-09-27 13:45:00+00:00,218.58,218.59,218.42,218.46,26069.0
2019-09-27 14:00:00+00:00,218.34,218.38,217.99,217.98,63660.0
2019-09-27 14:15:00+00:00,218.16,218.23,218.05,218.06,35952.0
2019-09-27 14:30:00+00:00,217.9,217.98,217.87,217.9,47508.0
2019-09-27 14:45:00+00:00,217.49,217.55,217.42,217.55,32487.0
2019-09-27 15:00:00+00:00,217.91,218.03,217.87,217.92,30827.0
2019-09-27 15:15:00+00:00,218.27,218.31,218.23,218.28,23878.0
2019-09-27 15:30:00+00:00,218.72,218.76,218.61,218.64,62356.0
