Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-11-24,65.8,65.95,64.125,65.45,0.35,65.3,7209.0,26049.0
2020-11-25,65.4,66.325,64.925,66.3,0.875,66.175,5936.0,23964.0
2020-11-27,66.175,66.2,65.55,65.95,-0.3,65.875,3270.0,21661.0
2020-11-30,66.25,67.85,66.0,67.625,1.7,67.575,8413.0,21153.0
2020-12-01,67.925,67.95,66.7,67.0,-0.6,66.975,5959.0,19698.0
2020-12-02,66.475,66.6,66.05,66.25,-0.625,66.35,5301.0,18213.0
2020-12-03,66.425,66.45,65.85,66.0,-0.325,66.025,4984.0,16568.0
2020-12-04,65.45,65.95,64.6,65.8,-0.15,65.875,6890.0,15913.0
2020-12-07,65.35,65.6,64.35,64.475,-1.375,64.5,4649.0,14191.0
2020-12-08,64.85,64.875,64.275,64.55,0.05,64.55,3413.0,12526.0
2020-12-09,64.85,65.225,64.625,65.175,0.575,65.125,3133.0,11700.0
2020-12-10,65.0,65.075,64.675,64.7,-0.325,64.8,2967.0,10213.0
2020-12-11,64.8,64.95,64.525,64.65,-0.125,64.675,3804.0,9552.0
2020-12-14,64.7,64.925,64.7,64.85,0.225,64.9,1600.0,8390.0
